url,stat
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2016/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2016/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2016/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2017/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2017/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2017/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2018/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2018/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2018/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2019/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2019/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2019/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2020/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2020/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2020/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2021/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2021/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2021/Maggio,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2022/Giugno,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2022/Settembre,1
https://www.ilmeteo.it/portale/archivio-meteo/Sperlonga/2022/Maggio,1
